5.70,50.16,-36.48
5.82,50.52,-36.66
5.64,50.28,-37.32
4.98,49.80,-37.44
4.98,49.44,-37.50
4.74,49.26,-38.10
4.56,49.26,-38.58
4.20,49.08,-38.58
4.26,48.96,-38.58
4.26,48.78,-38.16
4.26,48.78,-37.80
4.62,48.96,-37.68
4.26,48.90,-37.68
4.26,48.90,-37.08
4.26,48.72,-36.90
4.14,48.72,-36.72
3.90,48.66,-37.02
4.08,48.66,-37.68
4.08,48.96,-37.80
4.38,49.08,-37.80
4.62,49.50,-37.50
4.62,49.68,-37.86
4.38,50.04,-37.62
4.38,50.40,-37.80
4.32,50.52,-37.56
4.02,50.70,-36.96
3.78,50.22,-36.42
3.48,50.22,-36.54
3.24,49.86,-36.78
3.24,49.50,-36.90
3.48,49.50,-36.84
3.48,49.32,-36.66
3.72,49.02,-36.66
4.02,48.84,-37.02
4.44,49.08,-37.44
4.44,49.08,-37.08
4.68,49.26,-37.02
4.50,49.26,-36.54
4.68,49.08,-36.66
4.44,48.90,-36.84
4.44,49.14,-36.90
4.44,49.14,-37.02
4.26,49.14,-36.66
4.08,49.50,-36.66
4.08,49.26,-36.78
4.56,49.44,-37.38
4.56,49.44,-37.68
4.80,49.44,-37.50
4.62,49.32,-37.50
4.62,48.96,-37.44
4.80,49.14,-37.80
4.98,48.78,-38.10
4.98,48.90,-37.86
4.68,48.72,-37.86
4.50,48.24,-37.26
4.32,48.12,-37.26
4.62,48.00,-37.56
4.44,48.36,-37.14
4.02,47.94,-36.30
4.26,47.94,-36.00
3.84,47.94,-35.82
3.84,47.94,-35.58
4.14,48.24,-36.66
4.32,48.54,-36.48
4.08,48.72,-36.30
4.08,48.72,-36.36
4.20,48.90,-36.66
3.90,48.90,-36.66
4.44,49.08,-37.26
4.26,49.26,-37.08
3.96,49.44,-36.30
3.78,49.14,-36.66
3.96,49.14,-36.48
4.08,48.78,-36.90
4.26,48.60,-37.62
4.26,48.60,-37.86
3.90,48.42,-37.26
4.08,48.42,-37.26
3.90,48.12,-37.26
3.78,48.12,-37.26
3.78,47.76,-37.68
3.78,48.30,-37.62
4.14,48.48,-37.80
4.14,48.24,-37.68
4.14,48.42,-38.04
3.96,48.42,-38.34
4.38,48.84,-38.22
4.62,48.54,-38.04
4.44,48.96,-37.98
4.26,48.60,-37.62
4.08,48.60,-37.20
4.08,48.90,-37.26
4.08,48.72,-37.26
