posX,posY,magX,magY,magZ
4,0,-1.1398315,28.318787,-30.718994
4,1,-2.3391724,32.63855,-38.339233
4,2,-0.8987427,38.279724,-50.698853
4,3,-5.999756,22.37854,-58.918762
4,4,-8.039856,16.859436,-46.258545
4,5,-5.6396484,17.57965,-39.718628
4,6,-0.71868896,19.259644,-34.439087
4,7,1.0787964,25.019836,-32.51953
4,8,3.239441,25.85907,-33.95996
4,9,4.559326,28.138733,-36.59973
4,10,4.1397095,31.97937,-35.939026
